Problema,Tipo
un cirujano tiene 62 balones y añade 83 balones ¿Cuantos tienen entre los dos?,Suma
Federico tiene 98 ciruela y Cesar tiene 22 coco ¿Cuantos frutas hay en total?,Suma
hay 42 tortillas en una mesa y se comen 38 ¿Cuantos tortillas quedan?,Resta
programador tiene 53 carteras y incluye 74 carteras ¿Cuantos hay en total?,Suma
hay 42 niños en clase y se van 98 ¿Cuantos niños quedan?,Resta
ingeniero tiene 80 mesas y resta 51 mesas ¿Cuantos tiene al final?,Resta
hay 47 niños en clase y se van 45 ¿Cuantos niños quedan?,Resta
Julio tiene 72 peras y Pedro tiene 89 uvas ¿Cuantos frutas hay en total?,Suma
Una azafata tiene 49 animales y con una diferencia 8 animales ¿Cuantos le queda?,Resta
Cesar tiene 60 balones de rugby y Roberto tiene 59 balones de rugby ¿Cuantos balones hay en total?,Suma
hay 79 niños en clase y se van 64 ¿Cuantos niños quedan?,Resta
un profesor tiene 37 coches y le dan 97 coches ¿Cuantos hay en total?,Suma
Ana tiene 19 toronjas y Juan tiene 100 peras ¿Cuantos frutas hay en total?,Suma
hay 84 tortillas en una mesa y se comen 76 ¿Cuantos tortillas quedan?,Resta
Julio tiene 60 balones de rugby y Lucas tiene 59 balones de tenis ¿Cuantos balones hay en total?,Suma
pablito  tiene 53 lapices y le extraen 46 lapices ¿Cuanto queda?,Resta
perro tiene 87 teles y le quitan 46 teles ¿Cuantos le queda?,Resta
un mecanico tiene 61 sillas y resta 16 sillas ¿Cuantos le queda?,Resta
hay 81 tortillas en una mesa y se comen 7 ¿Cuantos tortillas quedan?,Resta
Gustavo tiene 50 balones de voley y Cesar tiene 3 balones de basquet ¿Cuantos balones hay en total?,Suma
Francisco tiene 45 coco y Lorena tiene 58 peras ¿Cuantos frutas hay en total?,Suma
un policia tiene 80 coches y resta 50 coches ¿Cuantos le queda?,Resta
hay 1 pajaros en un arbol y se van volando 20 ¿Cuantos pajaros quedan?,Resta
hay 34 pajaros en un arbol y se van volando 22 ¿Cuantos pajaros quedan?,Resta
un perro tiene 49 frutas y con una diferencia 30 frutas ¿Cuanto queda?,Resta
hay 60 tortillas en una mesa y se comen 59 ¿Cuantos tortillas quedan?,Resta
un perro tiene 78 animales y incluye 41 animales ¿Cuantos hay en total?,Suma
un albañil tiene 54 canicas y le dan 50 canicas ¿Cuantos hay en total?,Suma
programador tiene 74 teles y le quitan 70 teles ¿Cuantos tiene al final?,Resta
Lorena tiene 22 balones de voley y Ana tiene 24 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 78 pajaros en un arbol y se van volando 51 ¿Cuantos pajaros quedan?,Resta
hay 45 pajaros en un arbol y se van volando 10 ¿Cuantos pajaros quedan?,Resta
hay 42 pajaros en un arbol y se van volando 15 ¿Cuantos pajaros quedan?,Resta
jose tiene 39 teles y le extraen 10 teles ¿Cuantos tiene al final?,Resta
un cirujano tiene 35 unidades y con una diferencia 12 unidades ¿Cuantos tiene al final?,Resta
hay 50 tortillas en una mesa y se comen 23 ¿Cuantos tortillas quedan?,Resta
un profesor tiene 76 sillas y le extraen 8 sillas ¿Cuanto queda?,Resta
ingeniero tiene 57 coches y le extraen 9 coches ¿Cuantos tiene al final?,Resta
Pablo tiene 83 peras y Gustavo tiene 78 platano ¿Cuantos frutas hay en total?,Suma
Cesar tiene 45 peras y Federico tiene 93 manzanas ¿Cuantos frutas hay en total?,Suma
un actor tiene 58 coches y le entregan 46 coches ¿Cuantos hay en total?,Suma
hay 72 tortillas en una mesa y se comen 41 ¿Cuantos tortillas quedan?,Resta
piloto tiene 18 carteras y incluye 27 carteras ¿Cuantos hay en total?,Suma
un perro tiene 56 sillas y le quitan 48 sillas ¿Cuantos tiene al final?,Resta
un obrero tiene 26 canicas y añade 86 canicas ¿Cuantos hay en total?,Suma
un mecanico tiene 51 unidades y incluye 33 unidades ¿Cuantos hay en total?,Suma
Julio tiene 77 ciruela y Lucas tiene 53 manzanas ¿Cuantos frutas hay en total?,Suma
hay 62 pajaros en un arbol y se van volando 72 ¿Cuantos pajaros quedan?,Resta
un actor tiene 74 balones y le quitan 65 balones ¿Cuanto queda?,Resta
ingeniero tiene 73 piedras y le quitan 28 piedras ¿Cuantos le queda?,Resta
Francisco tiene 3 manzanas y Celeste tiene 66 peras ¿Cuantos frutas hay en total?,Suma
hay 66 tortillas en una mesa y se comen 33 ¿Cuantos tortillas quedan?,Resta
hay 42 niños en clase y se van 2 ¿Cuantos niños quedan?,Resta
un perro tiene 58 canicas y le quitan 58 canicas ¿Cuanto queda?,Resta
piloto tiene 34 coches y añade 43 coches ¿Cuantos hay en total?,Suma
Ana tiene 32 platano y Juan tiene 73 peras ¿Cuantos frutas hay en total?,Suma
hay 51 tortillas en una mesa y se comen 84 ¿Cuantos tortillas quedan?,Resta
Gustavo tiene 13 balones de futbol y Pedro tiene 11 balones de tenis ¿Cuantos balones hay en total?,Suma
jose tiene 51 moviles y resta 29 moviles ¿Cuantos tiene al final?,Resta
Juan tiene 4 manzanas y Ana tiene 77 melocotones ¿Cuantos frutas hay en total?,Suma
hay 84 tortillas en una mesa y se comen 36 ¿Cuantos tortillas quedan?,Resta
Federico tiene 72 balones de voley y Lucas tiene 76 balones de tenis ¿Cuantos balones hay en total?,Suma
Lucas tiene 62 balones de futbol y Francisco tiene 31 balones de futbol ¿Cuantos balones hay en total?,Suma
jose tiene 29 relojes y le dan 85 relojes ¿Cuantos hay al final ?,Suma
hay 34 niños en clase y se van 75 ¿Cuantos niños quedan?,Resta
Gustavo tiene 7 uvas y Juan tiene 73 papayas ¿Cuantos frutas hay en total?,Suma
medico tiene 92 frutas y le dan 87 frutas ¿Cuantos tienen entre los dos?,Suma
ingeniero tiene 99 canicas y le extraen 81 canicas ¿Cuantos le queda?,Resta
un actor tiene 78 lapices y le quitan 44 lapices ¿Cuanto queda?,Resta
hay 10 tortillas en una mesa y se comen 67 ¿Cuantos tortillas quedan?,Resta
Cesar tiene 14 manzanas y Ana tiene 80 platano ¿Cuantos frutas hay en total?,Suma
un perro tiene 49 canicas y con una diferencia 43 canicas ¿Cuantos le queda?,Resta
hay 84 niños en clase y se van 84 ¿Cuantos niños quedan?,Resta
hay 49 niños en clase y se van 32 ¿Cuantos niños quedan?,Resta
Cesar tiene 62 peras y Julio tiene 5 sandias ¿Cuantos frutas hay en total?,Suma
ingeniero tiene 88 balones y resta 44 balones ¿Cuanto queda?,Resta
hay 23 pajaros en un arbol y se van volando 65 ¿Cuantos pajaros quedan?,Resta
