Problema,Tipo
Francisco tiene 54 balones de futbol y Ana tiene 54 balones de futbol ¿Cuantos balones hay en total?,Suma
Lucas tiene 58 papayas y Pablo tiene 68 manzanas ¿Cuantos frutas hay en total?,Suma
piloto tiene 69 mesas y le extraen 1 mesas ¿Cuantos le queda?,Resta
un perro tiene 22 sillas y suma 78 sillas ¿Cuantos hay en total?,Suma
una actriz tiene 5 pajaros y añade 60 pajaros ¿Cuantos tienen entre los dos?,Suma
hay 97 niños en clase y se van 31 ¿Cuantos niños quedan?,Resta
hay 35 pajaros en un arbol y se van volando 93 ¿Cuantos pajaros quedan?,Resta
hay 82 tortillas en una mesa y se comen 86 ¿Cuantos tortillas quedan?,Resta
Enrique tiene 67 pajaros y le quitan 53 pajaros ¿Cuanto queda?,Resta
un camarero tiene 99 balones y excluye 52 balones ¿Cuantos le queda?,Resta
Un carpitero tiene 58 mesas y le dan 1 mesas ¿Cuantos hay en total?,Suma
Roberto tiene 21 toronjas y Celeste tiene 90 coco ¿Cuantos frutas hay en total?,Suma
Lorena tiene 6 balones de futbol y Juan tiene 81 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 12 tortillas en una mesa y se comen 5 ¿Cuantos tortillas quedan?,Resta
pablito  tiene 90 balones y con una diferencia 35 balones ¿Cuanto queda?,Resta
Celeste tiene 74 balones de voley y Pablo tiene 7 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 22 niños en clase y se van 10 ¿Cuantos niños quedan?,Resta
hay 39 tortillas en una mesa y se comen 44 ¿Cuantos tortillas quedan?,Resta
Gustavo tiene 25 balones de futbol y Lucas tiene 93 balones de tenis ¿Cuantos balones hay en total?,Suma
Celeste tiene 80 ciruela y Roberto tiene 74 papayas ¿Cuantos frutas hay en total?,Suma
hay 83 tortillas en una mesa y se comen 91 ¿Cuantos tortillas quedan?,Resta
hay 53 tortillas en una mesa y se comen 76 ¿Cuantos tortillas quedan?,Resta
Cesar tiene 41 uvas y Federico tiene 94 platano ¿Cuantos frutas hay en total?,Suma
programador tiene 66 frutas y suma 77 frutas ¿Cuantos hay al final ?,Suma
un camarero tiene 95 teles y suma 99 teles ¿Cuantos tienen entre los dos?,Suma
hay 83 niños en clase y se van 86 ¿Cuantos niños quedan?,Resta
un obrero tiene 96 coches y resta 28 coches ¿Cuanto queda?,Resta
hay 98 pajaros en un arbol y se van volando 91 ¿Cuantos pajaros quedan?,Resta
medico tiene 40 relojes y resta 21 relojes ¿Cuanto queda?,Resta
un camarero tiene 98 sillas y incluye 52 sillas ¿Cuantos hay en total?,Suma
Lorena tiene 94 ciruela y Cesar tiene 94 melocotones ¿Cuantos frutas hay en total?,Suma
cirujano tiene 54 lapices y suma 20 lapices ¿Cuantos hay en total?,Suma
Un carpitero tiene 48 carteras y suma 14 carteras ¿Cuantos tienen entre los dos?,Suma
hay 54 pajaros en un arbol y se van volando 96 ¿Cuantos pajaros quedan?,Resta
un camarero tiene 84 pajaros y le extraen 4 pajaros ¿Cuantos le queda?,Resta
un camarero tiene 90 pajaros y le entregan 6 pajaros ¿Cuantos hay en total?,Suma
un albañil tiene 41 lapices y excluye 21 lapices ¿Cuantos tiene al final?,Resta
