Problema,Respuesta
Enrique tiene 84 relojes y le quitan 38 relojes ¿Cuantos le queda?,Le queda 46 relojes
Gustavo tiene 37 balones de futbol y Celeste tiene 8 balones de futbol ¿Cuantos balones hay en total?,En total hay 45 balones
hay 96 pajaros en un arbol y se van volando 11 ¿Cuantos pajaros quedan?,Quedan 85 pajaros
Roberto tiene 21 balones de rugby y Lucas tiene 98 balones de tenis ¿Cuantos balones hay en total?,En total hay 119 balones
Ana tiene 56 ciruela y Francisco tiene 28 ciruela ¿Cuantos frutas hay en total?,En total hay 84 frutas
Pedro tiene 26 balones de futbol y Lucas tiene 42 balones de voley ¿Cuantos balones hay en total?,En total hay 68 balones
hay 60 tortillas en una mesa y se comen 82 ¿Cuantos tortillas quedan?,Quedan 22 tortillas
Pablo tiene 94 balones de futbol y Pedro tiene 84 balones de voley ¿Cuantos balones hay en total?,En total hay 178 balones
fontanero tiene 91 frutas y excluye 8 frutas ¿Cuantos tiene al final?,Al final tiene 83 frutas
perro tiene 77 sillas y le entregan 92 sillas ¿Cuantos tienen entre los dos?,Entre los dos tienen 169 sillas
un actor tiene 76 frutas y con una diferencia 13 frutas ¿Cuantos tiene al final?,Al final tiene 63 frutas
hay 25 niños en clase y se van 78 ¿Cuantos niños quedan?,Quedan 53 niños
un camarero tiene 95 lapices y incluye 63 lapices ¿Cuantos tienen entre los dos?,Entre los dos tienen 158 lapices
hay 68 tortillas en una mesa y se comen 36 ¿Cuantos tortillas quedan?,Quedan 32 tortillas
piloto tiene 87 frutas y excluye 77 frutas ¿Cuantos tiene al final?,Al final tiene 10 frutas
Un carpitero tiene 64 piedras y incluye 77 piedras ¿Cuantos hay en total?,En total hay 141 piedras
Celeste tiene 10 peras y Roberto tiene 100 coco ¿Cuantos frutas hay en total?,En total hay 110 frutas
Roberto tiene 9 balones de voley y Pedro tiene 51 balones de voley ¿Cuantos balones hay en total?,En total hay 60 balones
una actriz tiene 12 mesas y le entregan 99 mesas ¿Cuantos hay al final ?,Al final hay 111 mesas
hay 8 niños en clase y se van 71 ¿Cuantos niños quedan?,Quedan 63 niños
